set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
animated-features,2020,altered-carbon-resleeved,Altered Carbon Resleeved,"collection_tags contains ""animation""; media_object.type equals ""film""",2020-03-19,2020-05-27,2020,2020,10,66,1294918,19619.969697,349231,5291.378788,alpha60-devops/alpha60-results-2020,00522d046aacc391695fd8d4a14c7ba741dc0f7e,data/json/altered-carbon-resleeved-week.json,data/json/altered-carbon-resleeved-cumulative.json
animated-features,2020,demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train,Demon Slayer Kimetsu No Yaiba The Movie Mugen Train,"collection_tags contains ""animation""; media_object.type equals ""film""",2020-12-10,2021-10-19,2020,2021,45,227,25693864,113188.828194,5320060,23436.387665,alpha60-devops/alpha60-results-2020,00522d046aacc391695fd8d4a14c7ba741dc0f7e,data/json/demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train-week.json,data/json/demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train-cumulative.json
animated-features,2020,japan-sinks,Japan Sinks,"collection_tags contains ""animation""; media_object.type equals ""film""",2020-07-09,2020-09-23,2020,2020,11,138,911142,6602.478261,180638,1308.971014,alpha60-devops/alpha60-results-2020,00522d046aacc391695fd8d4a14c7ba741dc0f7e,data/json/japan-sinks-week.json,data/json/japan-sinks-cumulative.json
animated-features,2021,mitchells-vs-the-machines,The Mitchells vs The Machines,"collection_tags contains ""animation""; media_object.type equals ""film""",2021-05-01,2021-07-09,2021,2021,10,83,10003687,120526.349398,2736577,32970.807229,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/mitchells-vs-the-machines-week.json,data/json/mitchells-vs-the-machines-cumulative.json
animated-features,2021,pacific-rim-the-black,Pacific Rim The Black,"collection_tags contains ""animation""; media_object.type equals ""film""",2021-03-04,2021-05-12,2021,2021,10,84,1924732,22913.476190,175734,2092.071429,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/pacific-rim-the-black-week.json,data/json/pacific-rim-the-black-cumulative.json
animated-features,2021,raya-and-the-last-dragon,Raya & The Last Dragon,"collection_tags contains ""animation""; media_object.type equals ""film""",2021-03-05,2021-09-02,2021,2021,26,175,33080233,189029.902857,9458488,54048.502857,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/raya-and-the-last-dragon-week.json,data/json/raya-and-the-last-dragon-cumulative.json
animated-features,2021,yasuke-01,Yasuke,"collection_tags contains ""animation""; media_object.type equals ""film""",2021-04-29,2021-07-07,2021,2021,10,128,5862662,45802.046875,520800,4068.750000,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/yasuke-01-week.json,data/json/yasuke-01-cumulative.json
animated-features,2022,turning-red,Turning Red,"collection_tags contains ""animation""; media_object.type equals ""film""",2022-03-11,2022-06-23,2022,2022,15,162,13279797,81974.055556,5318333,32829.216049,alpha60-devops/alpha60-results-2022,657a141f29bede4397fbe6e24c043f30a7904d35,data/json/turning-red-week.json,data/json/turning-red-cumulative.json
animated-features,2023,spider-man-across-the-spider-verse,Spider Man Across The Spider Verse,"collection_tags contains ""animation""; media_object.type equals ""film""",2023-08-07,2024-02-05,2023,2024,27,366,37342322,102028.202186,7116425,19443.784153,alpha60-devops/alpha60-results-2023,756991179cd89f2e6f182c2a7e2d4b181d47e8dc,data/json/spider-man-across-the-spider-verse-week.json,data/json/spider-man-across-the-spider-verse-cumulative.json
animated-features,2023,super-mario-brothers-movie,Super Mario Brothers: The Movie,"collection_tags contains ""animation""; media_object.type equals ""film""",2023-05-16,2023-09-25,2023,2023,19,365,18071298,49510.405479,5397289,14787.093151,alpha60-devops/alpha60-results-2023,756991179cd89f2e6f182c2a7e2d4b181d47e8dc,data/json/super-mario-brothers-movie-week.json,data/json/super-mario-brothers-movie-cumulative.json
