set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
disney-meta,2020,solar-opposites-01,2020,1,750759,166835.333333,4.500000,2025,6.000000,1.333333,1001012.000000
disney-meta,2020,solar-opposites-01,2020,2,1135638,252364.000000,4.500000,2025,6.000000,1.333333,1514184.000000
disney-meta,2020,solar-opposites-01,2020,3,1354562,301013.777778,4.500000,2025,6.000000,1.333333,1806082.666667
disney-meta,2020,solar-opposites-01,2020,4,1623185,360707.777778,4.500000,2025,6.000000,1.333333,2164246.666667
disney-meta,2020,solar-opposites-01,2020,5,1862152,413811.555556,4.500000,2025,6.000000,1.333333,2482869.333333
disney-meta,2020,solar-opposites-01,2020,6,2053881,456418.000000,4.500000,2025,6.000000,1.333333,2738508.000000
disney-meta,2020,solar-opposites-01,2020,7,2223851,494189.111111,4.500000,2025,6.000000,1.333333,2965134.666667
disney-meta,2020,solar-opposites-01,2020,8,2362146,524921.333333,4.500000,2025,6.000000,1.333333,3149528.000000
disney-meta,2020,solar-opposites-01,2020,9,2493479,554106.444444,4.500000,2025,6.000000,1.333333,3324638.666667
disney-meta,2020,solar-opposites-01,2020,10,2611715,580381.111111,4.500000,2025,6.000000,1.333333,3482286.666667
disney-meta,2021,archer-1201,2021,1,716157,146154.489796,4.900000,2025,6.000000,1.224490,876926.938776
disney-meta,2021,archer-1201,2021,2,1544200,315142.857143,4.900000,2025,6.000000,1.224490,1890857.142857
disney-meta,2021,archer-1201,2021,3,2252778,459750.612245,4.900000,2025,6.000000,1.224490,2758503.673469
disney-meta,2021,archer-1201,2021,4,2963844,604866.122449,4.900000,2025,6.000000,1.224490,3629196.734694
disney-meta,2021,archer-1201,2021,5,3165958,646113.877551,4.900000,2025,6.000000,1.224490,3876683.265306
disney-meta,2021,archer-1201,2021,6,3296108,672675.102041,4.900000,2025,6.000000,1.224490,4036050.612245
disney-meta,2021,archer-1201,2021,7,3409242,695763.673469,4.900000,2025,6.000000,1.224490,4174582.040816
disney-meta,2021,archer-1201,2021,8,3519967,718360.612245,4.900000,2025,6.000000,1.224490,4310163.673469
disney-meta,2021,archer-1201,2021,9,3637270,742300.000000,4.900000,2025,6.000000,1.224490,4453800.000000
disney-meta,2021,archer-1201,2021,10,3760732,767496.326531,4.900000,2025,6.000000,1.224490,4604977.959184
disney-meta,2021,star-wars-visions-01,2021,1,442561,90318.571429,4.900000,2025,6.000000,1.224490,541911.428571
disney-meta,2021,star-wars-visions-01,2021,2,718594,146651.836735,4.900000,2025,6.000000,1.224490,879911.020408
disney-meta,2021,star-wars-visions-01,2021,3,950044,193886.530612,4.900000,2025,6.000000,1.224490,1163319.183673
disney-meta,2021,star-wars-visions-01,2021,4,1148148,234315.918367,4.900000,2025,6.000000,1.224490,1405895.510204
disney-meta,2021,star-wars-visions-01,2021,5,1335906,272633.877551,4.900000,2025,6.000000,1.224490,1635803.265306
disney-meta,2021,star-wars-visions-01,2021,6,1541393,314570.000000,4.900000,2025,6.000000,1.224490,1887420.000000
disney-meta,2021,star-wars-visions-01,2021,7,1742376,355586.938776,4.900000,2025,6.000000,1.224490,2133521.632653
disney-meta,2021,star-wars-visions-01,2021,8,1917127,391250.408163,4.900000,2025,6.000000,1.224490,2347502.448980
disney-meta,2021,star-wars-visions-01,2021,9,2081493,424794.489796,4.900000,2025,6.000000,1.224490,2548766.938776
disney-meta,2021,star-wars-visions-01,2021,10,2259624,461147.755102,4.900000,2025,6.000000,1.224490,2766886.530612
disney-meta,2021,star-wars-visions-01,2021,11,2425663,495033.265306,4.900000,2025,6.000000,1.224490,2970199.591837
disney-meta,2021,star-wars-visions-01,2021,12,2449889,499977.346939,4.900000,2025,6.000000,1.224490,2999864.081633
