set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
netflix-meta,2020,bojack-horseman-06,2020,1,119518,26559.555556,4.500000,2025,6.000000,1.333333,159357.333333
netflix-meta,2020,bojack-horseman-06,2020,2,249606,55468.000000,4.500000,2025,6.000000,1.333333,332808.000000
netflix-meta,2020,bojack-horseman-06,2020,3,845485,187885.555556,4.500000,2025,6.000000,1.333333,1127313.333333
netflix-meta,2020,bojack-horseman-06,2020,4,1502238,333830.666667,4.500000,2025,6.000000,1.333333,2002984.000000
netflix-meta,2020,bojack-horseman-06,2020,5,2106681,468151.333333,4.500000,2025,6.000000,1.333333,2808908.000000
netflix-meta,2020,bojack-horseman-06,2020,6,2585098,574466.222222,4.500000,2025,6.000000,1.333333,3446797.333333
netflix-meta,2020,bojack-horseman-06,2020,7,2945898,654644.000000,4.500000,2025,6.000000,1.333333,3927864.000000
netflix-meta,2020,bojack-horseman-06,2020,8,3294424,732094.222222,4.500000,2025,6.000000,1.333333,4392565.333333
netflix-meta,2020,bojack-horseman-06,2020,9,3608666,801925.777778,4.500000,2025,6.000000,1.333333,4811554.666667
netflix-meta,2020,bojack-horseman-06,2020,10,3872634,860585.333333,4.500000,2025,6.000000,1.333333,5163512.000000
netflix-meta,2021,love-death-robots-02,2021,1,687868,140381.224490,4.900000,2025,6.000000,1.224490,842287.346939
netflix-meta,2021,love-death-robots-02,2021,2,1601475,326831.632653,4.900000,2025,6.000000,1.224490,1960989.795918
netflix-meta,2021,love-death-robots-02,2021,3,2519176,514117.551020,4.900000,2025,6.000000,1.224490,3084705.306122
netflix-meta,2021,love-death-robots-02,2021,4,3400615,694003.061224,4.900000,2025,6.000000,1.224490,4164018.367347
netflix-meta,2021,love-death-robots-02,2021,5,4090505,834796.938776,4.900000,2025,6.000000,1.224490,5008781.632653
netflix-meta,2021,love-death-robots-02,2021,6,4790220,977595.918367,4.900000,2025,6.000000,1.224490,5865575.510204
netflix-meta,2021,love-death-robots-02,2021,7,5432930,1108761.224490,4.900000,2025,6.000000,1.224490,6652567.346939
netflix-meta,2021,love-death-robots-02,2021,8,5987176,1221872.653061,4.900000,2025,6.000000,1.224490,7331235.918367
netflix-meta,2021,love-death-robots-02,2021,9,6423495,1310917.346939,4.900000,2025,6.000000,1.224490,7865504.081633
netflix-meta,2021,love-death-robots-02,2021,10,6778276,1383321.632653,4.900000,2025,6.000000,1.224490,8299929.795918
netflix-meta,2023,blue-eye-samurai-01,2023,1,287042,53155.925926,5.400000,2025,6.000000,1.111111,318935.555556
netflix-meta,2023,blue-eye-samurai-01,2023,2,811899,150351.666667,5.400000,2025,6.000000,1.111111,902110.000000
netflix-meta,2023,blue-eye-samurai-01,2023,3,1356228,251153.333333,5.400000,2025,6.000000,1.111111,1506920.000000
netflix-meta,2023,blue-eye-samurai-01,2023,4,1886713,349391.296296,5.400000,2025,6.000000,1.111111,2096347.777778
netflix-meta,2023,blue-eye-samurai-01,2023,5,2382534,441210.000000,5.400000,2025,6.000000,1.111111,2647260.000000
netflix-meta,2023,blue-eye-samurai-01,2023,6,2869021,531300.185185,5.400000,2025,6.000000,1.111111,3187801.111111
netflix-meta,2023,blue-eye-samurai-01,2023,7,3341623,618819.074074,5.400000,2025,6.000000,1.111111,3712914.444444
netflix-meta,2023,blue-eye-samurai-01,2023,8,3787377,701366.111111,5.400000,2025,6.000000,1.111111,4208196.666667
netflix-meta,2023,blue-eye-samurai-01,2023,9,4299510,796205.555556,5.400000,2025,6.000000,1.111111,4777233.333333
netflix-meta,2023,blue-eye-samurai-01,2023,10,4800356,888954.814815,5.400000,2025,6.000000,1.111111,5333728.888889
netflix-meta,2024,arcane-02.1,2024,1,2781288,505688.727273,5.500000,2025,6.000000,1.090909,3034132.363636
netflix-meta,2024,arcane-02.1,2024,2,4876788,886688.727273,5.500000,2025,6.000000,1.090909,5320132.363636
netflix-meta,2024,arcane-02.1,2024,3,6763283,1229687.818182,5.500000,2025,6.000000,1.090909,7378126.909091
netflix-meta,2024,arcane-02.1,2024,4,8234575,1497195.454545,5.500000,2025,6.000000,1.090909,8983172.727273
netflix-meta,2024,arcane-02.1,2024,5,9511673,1729395.090909,5.500000,2025,6.000000,1.090909,10376370.545455
netflix-meta,2024,arcane-02.1,2024,6,10655571,1937376.545455,5.500000,2025,6.000000,1.090909,11624259.272727
netflix-meta,2024,arcane-02.1,2024,7,12216982,2221269.454545,5.500000,2025,6.000000,1.090909,13327616.727273
netflix-meta,2024,arcane-02.1,2024,8,14153562,2573374.909091,5.500000,2025,6.000000,1.090909,15440249.454545
netflix-meta,2024,arcane-02.1,2024,9,16008842,2910698.545455,5.500000,2025,6.000000,1.090909,17464191.272727
netflix-meta,2024,arcane-02.1,2024,10,17722616,3222293.818182,5.500000,2025,6.000000,1.090909,19333762.909091
netflix-meta,2024,arcane-02.1,2024,11,19514035,3548006.363636,5.500000,2025,6.000000,1.090909,21288038.181818
netflix-meta,2024,arcane-02.1,2024,12,21268348,3866972.363636,5.500000,2025,6.000000,1.090909,23201834.181818
netflix-meta,2024,arcane-02.1,2024,13,22980287,4178234.000000,5.500000,2025,6.000000,1.090909,25069404.000000
netflix-meta,2024,arcane-02.1,2024,14,24699973,4490904.181818,5.500000,2025,6.000000,1.090909,26945425.090909
