set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
japan-origin,2021,blade-runner-black-lotus-101,Blade Runner Black Lotus,"collection_tags contains ""animation""; collection_tags contains ""japan_origin""",2021-11-14,2022-01-22,2021,2022,10,84,1158416,13790.666667,198430,2362.261905,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/blade-runner-black-lotus-101-week.json,data/json/blade-runner-black-lotus-101-cumulative.json
japan-origin,2021,one-piece-95x,One Piece 95x,"collection_tags contains ""animation""; release.countries_of_origin contains ""Japan""; release.original_languages contains ""Japanese""",2021-04-02,2021-10-07,2021,2021,27,303,12177928,40191.181518,410050,1353.300330,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/one-piece-95x-week.json,data/json/one-piece-95x-cumulative.json
japan-origin,2021,one-piece-98x,One Piece 98x,"collection_tags contains ""animation""; release.countries_of_origin contains ""Japan""; release.original_languages contains ""Japanese""",2021-09-15,2022-03-11,2021,2022,26,740,11725588,15845.389189,2019555,2729.128378,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/one-piece-98x-week.json,data/json/one-piece-98x-cumulative.json
japan-origin,2021,pacific-rim-the-black,Pacific Rim The Black,"collection_tags contains ""animation""; collection_tags contains ""japan_origin""",2021-03-04,2021-05-12,2021,2021,10,84,1924732,22913.476190,175734,2092.071429,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/pacific-rim-the-black-week.json,data/json/pacific-rim-the-black-cumulative.json
japan-origin,2021,star-wars-visions-01,Star Wars: Visions,"collection_tags contains ""animation""; collection_tags contains ""japan_origin""",2021-09-22,2021-12-08,2021,2021,12,197,2449889,12435.984772,620258,3148.517766,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/star-wars-visions-01-week.json,data/json/star-wars-visions-01-cumulative.json
japan-origin,2021,yasuke-01,Yasuke,"collection_tags contains ""animation""; collection_tags contains ""japan_origin""",2021-04-29,2021-07-07,2021,2021,10,128,5862662,45802.046875,520800,4068.750000,alpha60-devops/alpha60-results-2021,39b94bd9d512d13ac58db193a7eabdabb81c5369,data/json/yasuke-01-week.json,data/json/yasuke-01-cumulative.json
japan-origin,2024,boy-and-the-heron,The Boy and the Heron,"collection_tags contains ""animation""; release.countries_of_origin contains ""Japan""; release.original_languages contains ""Japanese""",2024-06-26,2025-01-08,2024,2025,27,192,25804356,134397.687500,1620573,8440.484375,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/boy-and-the-heron-week.json,data/json/boy-and-the-heron-cumulative.json
japan-origin,2025,dan-da-dan-210,Dan Da Dan,"collection_tags contains ""animation""; release.countries_of_origin contains ""Japan""; release.original_languages contains ""Japanese""",2025-09-04,2026-03-04,2025,2026,26,301,64689074,214913.867110,1438368,4778.631229,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/dan-da-dan-210-week.json,data/json/dan-da-dan-210-cumulative.json
japan-origin,2025,lazarus-101,Lazarus,"collection_tags contains ""animation""; release.original_languages contains ""Japanese""",2025-04-07,2025-10-05,2025,2025,26,295,30540877,103528.396610,1210003,4101.705085,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/lazarus-101-week.json,data/json/lazarus-101-cumulative.json
japan-origin,2025,lazarus-108,Lazarus,"collection_tags contains ""animation""; release.original_languages contains ""Japanese""",2025-05-25,2025-08-02,2025,2025,10,100,4128545,41285.450000,203998,2039.980000,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/lazarus-108-week.json,data/json/lazarus-108-cumulative.json
japan-origin,2025,lazarus-111,Lazarus,"collection_tags contains ""animation""; release.original_languages contains ""Japanese""",2025-06-16,2025-10-06,2025,2025,17,255,18099073,70976.756863,411288,1612.894118,alpha60-devops/alpha60-results-2025,e5c0e3e1cb2a2c0ebdfab803b9f70c8b41b233f,data/json/lazarus-111-week.json,data/json/lazarus-111-cumulative.json
