set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
japan-origin,2024,boy-and-the-heron,2024,1,744879,135432.545455,5.500000,2025,6.000000,1.090909,812595.272727
japan-origin,2024,boy-and-the-heron,2024,2,1472614,267748.000000,5.500000,2025,6.000000,1.090909,1606488.000000
japan-origin,2024,boy-and-the-heron,2024,3,2443034,444188.000000,5.500000,2025,6.000000,1.090909,2665128.000000
japan-origin,2024,boy-and-the-heron,2024,4,3543957,644355.818182,5.500000,2025,6.000000,1.090909,3866134.909091
japan-origin,2024,boy-and-the-heron,2024,5,4690516,852821.090909,5.500000,2025,6.000000,1.090909,5116926.545455
japan-origin,2024,boy-and-the-heron,2024,6,5944850,1080881.818182,5.500000,2025,6.000000,1.090909,6485290.909091
japan-origin,2024,boy-and-the-heron,2024,7,7158219,1301494.363636,5.500000,2025,6.000000,1.090909,7808966.181818
japan-origin,2024,boy-and-the-heron,2024,8,8357907,1519619.454545,5.500000,2025,6.000000,1.090909,9117716.727273
japan-origin,2024,boy-and-the-heron,2024,9,9522525,1731368.181818,5.500000,2025,6.000000,1.090909,10388209.090909
japan-origin,2024,boy-and-the-heron,2024,10,10498831,1908878.363636,5.500000,2025,6.000000,1.090909,11453270.181818
japan-origin,2024,boy-and-the-heron,2024,11,11473000,2086000.000000,5.500000,2025,6.000000,1.090909,12516000.000000
japan-origin,2024,boy-and-the-heron,2024,12,12393700,2253400.000000,5.500000,2025,6.000000,1.090909,13520400.000000
japan-origin,2024,boy-and-the-heron,2024,13,13342260,2425865.454545,5.500000,2025,6.000000,1.090909,14555192.727273
japan-origin,2024,boy-and-the-heron,2024,14,14309772,2601776.727273,5.500000,2025,6.000000,1.090909,15610660.363636
japan-origin,2024,boy-and-the-heron,2024,15,15284500,2779000.000000,5.500000,2025,6.000000,1.090909,16674000.000000
japan-origin,2024,boy-and-the-heron,2024,16,16189106,2943473.818182,5.500000,2025,6.000000,1.090909,17660842.909091
japan-origin,2024,boy-and-the-heron,2024,17,17035375,3097340.909091,5.500000,2025,6.000000,1.090909,18584045.454545
japan-origin,2024,boy-and-the-heron,2024,18,17885741,3251952.909091,5.500000,2025,6.000000,1.090909,19511717.454545
japan-origin,2024,boy-and-the-heron,2024,19,18702173,3400395.090909,5.500000,2025,6.000000,1.090909,20402370.545455
japan-origin,2024,boy-and-the-heron,2024,20,19505247,3546408.545455,5.500000,2025,6.000000,1.090909,21278451.272727
japan-origin,2024,boy-and-the-heron,2024,21,20324781,3695414.727273,5.500000,2025,6.000000,1.090909,22172488.363636
japan-origin,2024,boy-and-the-heron,2024,22,21266351,3866609.272727,5.500000,2025,6.000000,1.090909,23199655.636364
japan-origin,2024,boy-and-the-heron,2024,23,22224461,4040811.090909,5.500000,2025,6.000000,1.090909,24244866.545455
japan-origin,2024,boy-and-the-heron,2024,24,22957776,4174141.090909,5.500000,2025,6.000000,1.090909,25044846.545455
japan-origin,2024,boy-and-the-heron,2024,25,23820467,4330994.000000,5.500000,2025,6.000000,1.090909,25985964.000000
