set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
superhero-animation,2023,invincible-201,2023,1,560349,103768.333333,5.400000,2025,6.000000,1.111111,622610.000000
superhero-animation,2023,invincible-201,2023,2,1310482,242681.851852,5.400000,2025,6.000000,1.111111,1456091.111111
superhero-animation,2023,invincible-201,2023,3,2111828,391079.259259,5.400000,2025,6.000000,1.111111,2346475.555556
superhero-animation,2023,invincible-201,2023,4,2774388,513775.555556,5.400000,2025,6.000000,1.111111,3082653.333333
superhero-animation,2023,invincible-201,2023,5,3331624,616967.407407,5.400000,2025,6.000000,1.111111,3701804.444444
superhero-animation,2023,invincible-201,2023,6,3869078,716495.925926,5.400000,2025,6.000000,1.111111,4298975.555556
superhero-animation,2023,invincible-201,2023,7,4343044,804267.407407,5.400000,2025,6.000000,1.111111,4825604.444444
superhero-animation,2023,invincible-201,2023,8,4811433,891006.111111,5.400000,2025,6.000000,1.111111,5346036.666667
superhero-animation,2023,invincible-201,2023,9,5285858,978862.592593,5.400000,2025,6.000000,1.111111,5873175.555556
superhero-animation,2023,invincible-201,2023,10,5725638,1060303.333333,5.400000,2025,6.000000,1.111111,6361820.000000
superhero-animation,2023,spider-man-across-the-spider-verse,2023,1,2860486,529719.629630,5.400000,2025,6.000000,1.111111,3178317.777778
superhero-animation,2023,spider-man-across-the-spider-verse,2023,2,4876086,902978.888889,5.400000,2025,6.000000,1.111111,5417873.333333
superhero-animation,2023,spider-man-across-the-spider-verse,2023,3,6409433,1186932.037037,5.400000,2025,6.000000,1.111111,7121592.222222
superhero-animation,2023,spider-man-across-the-spider-verse,2023,4,7781893,1441091.296296,5.400000,2025,6.000000,1.111111,8646547.777778
superhero-animation,2023,spider-man-across-the-spider-verse,2023,5,8938812,1655335.555556,5.400000,2025,6.000000,1.111111,9932013.333333
superhero-animation,2023,spider-man-across-the-spider-verse,2023,6,10145409,1878779.444444,5.400000,2025,6.000000,1.111111,11272676.666667
superhero-animation,2023,spider-man-across-the-spider-verse,2023,7,11251251,2083565.000000,5.400000,2025,6.000000,1.111111,12501390.000000
superhero-animation,2023,spider-man-across-the-spider-verse,2023,8,12332487,2283793.888889,5.400000,2025,6.000000,1.111111,13702763.333333
superhero-animation,2023,spider-man-across-the-spider-verse,2023,9,13419981,2485181.666667,5.400000,2025,6.000000,1.111111,14911090.000000
superhero-animation,2023,spider-man-across-the-spider-verse,2023,10,14429901,2672203.888889,5.400000,2025,6.000000,1.111111,16033223.333333
superhero-animation,2023,spider-man-across-the-spider-verse,2023,11,15390594,2850110.000000,5.400000,2025,6.000000,1.111111,17100660.000000
superhero-animation,2023,spider-man-across-the-spider-verse,2023,12,16502780,3056070.370370,5.400000,2025,6.000000,1.111111,18336422.222222
superhero-animation,2023,spider-man-across-the-spider-verse,2023,13,18065456,3345454.814815,5.400000,2025,6.000000,1.111111,20072728.888889
superhero-animation,2023,spider-man-across-the-spider-verse,2023,14,19613000,3632037.037037,5.400000,2025,6.000000,1.111111,21792222.222222
superhero-animation,2023,spider-man-across-the-spider-verse,2023,15,21235557,3932510.555556,5.400000,2025,6.000000,1.111111,23595063.333333
superhero-animation,2023,spider-man-across-the-spider-verse,2023,16,22730454,4209343.333333,5.400000,2025,6.000000,1.111111,25256060.000000
superhero-animation,2023,spider-man-across-the-spider-verse,2023,17,24158767,4473845.740741,5.400000,2025,6.000000,1.111111,26843074.444444
superhero-animation,2023,spider-man-across-the-spider-verse,2023,18,25528082,4727422.592593,5.400000,2025,6.000000,1.111111,28364535.555556
superhero-animation,2023,spider-man-across-the-spider-verse,2023,19,27001433,5000265.370370,5.400000,2025,6.000000,1.111111,30001592.222222
superhero-animation,2023,spider-man-across-the-spider-verse,2023,20,28371721,5254022.407407,5.400000,2025,6.000000,1.111111,31524134.444444
superhero-animation,2023,spider-man-across-the-spider-verse,2023,21,29849362,5527659.629630,5.400000,2025,6.000000,1.111111,33165957.777778
superhero-animation,2023,spider-man-across-the-spider-verse,2023,22,31414324,5817467.407407,5.400000,2025,6.000000,1.111111,34904804.444444
superhero-animation,2023,spider-man-across-the-spider-verse,2023,23,32891378,6090995.925926,5.400000,2025,6.000000,1.111111,36545975.555556
superhero-animation,2023,spider-man-across-the-spider-verse,2023,24,34318658,6355307.037037,5.400000,2025,6.000000,1.111111,38131842.222222
superhero-animation,2023,spider-man-across-the-spider-verse,2023,25,35713367,6613586.481481,5.400000,2025,6.000000,1.111111,39681518.888889
superhero-animation,2023,spider-man-across-the-spider-verse,2023,26,37134891,6876831.666667,5.400000,2025,6.000000,1.111111,41260990.000000
superhero-animation,2023,spider-man-across-the-spider-verse,2023,27,37342322,6915244.814815,5.400000,2025,6.000000,1.111111,41491468.888889
superhero-animation,2024,hit-monkey-02,2024,1,199851,36336.545455,5.500000,2025,6.000000,1.090909,218019.272727
superhero-animation,2024,hit-monkey-02,2024,2,440368,80066.909091,5.500000,2025,6.000000,1.090909,480401.454545
superhero-animation,2024,hit-monkey-02,2024,3,692009,125819.818182,5.500000,2025,6.000000,1.090909,754918.909091
superhero-animation,2024,hit-monkey-02,2024,4,943010,171456.363636,5.500000,2025,6.000000,1.090909,1028738.181818
superhero-animation,2024,hit-monkey-02,2024,5,1252207,227674.000000,5.500000,2025,6.000000,1.090909,1366044.000000
superhero-animation,2024,hit-monkey-02,2024,6,1581175,287486.363636,5.500000,2025,6.000000,1.090909,1724918.181818
superhero-animation,2024,hit-monkey-02,2024,7,1913092,347834.909091,5.500000,2025,6.000000,1.090909,2087009.454545
superhero-animation,2024,hit-monkey-02,2024,8,2240124,407295.272727,5.500000,2025,6.000000,1.090909,2443771.636364
superhero-animation,2024,hit-monkey-02,2024,9,2361729,429405.272727,5.500000,2025,6.000000,1.090909,2576431.636364
superhero-animation,2024,hit-monkey-02,2024,10,2561838,465788.727273,5.500000,2025,6.000000,1.090909,2794732.363636
superhero-animation,2024,hit-monkey-02,2024,11,2879447,523535.818182,5.500000,2025,6.000000,1.090909,3141214.909091
superhero-animation,2024,hit-monkey-02,2024,12,3217611,585020.181818,5.500000,2025,6.000000,1.090909,3510121.090909
superhero-animation,2024,hit-monkey-02,2024,13,3547640,645025.454545,5.500000,2025,6.000000,1.090909,3870152.727273
superhero-animation,2024,hit-monkey-02,2024,14,3884451,706263.818182,5.500000,2025,6.000000,1.090909,4237582.909091
superhero-animation,2024,hit-monkey-02,2024,15,4174493,758998.727273,5.500000,2025,6.000000,1.090909,4553992.363636
superhero-animation,2024,what-if-2021-03,2024,1,943387,171524.909091,5.500000,2025,6.000000,1.090909,1029149.454545
superhero-animation,2024,what-if-2021-03,2024,2,2924900,531800.000000,5.500000,2025,6.000000,1.090909,3190800.000000
superhero-animation,2024,what-if-2021-03,2024,3,5022521,913185.636364,5.500000,2025,6.000000,1.090909,5479113.818182
superhero-animation,2024,what-if-2021-03,2024,4,7823867,1422521.272727,5.500000,2025,6.000000,1.090909,8535127.636364
superhero-animation,2024,what-if-2021-03,2024,5,10659733,1938133.272727,5.500000,2025,6.000000,1.090909,11628799.636364
superhero-animation,2024,what-if-2021-03,2024,6,13514178,2457123.272727,5.500000,2025,6.000000,1.090909,14742739.636364
superhero-animation,2024,what-if-2021-03,2024,7,16237550,2952281.818182,5.500000,2025,6.000000,1.090909,17713690.909091
superhero-animation,2024,what-if-2021-03,2024,8,19050028,3463641.454545,5.500000,2025,6.000000,1.090909,20781848.727273
superhero-animation,2024,what-if-2021-03,2024,9,21885810,3979238.181818,5.500000,2025,6.000000,1.090909,23875429.090909
superhero-animation,2024,what-if-2021-03,2024,10,24491583,4453015.090909,5.500000,2025,6.000000,1.090909,26718090.545455
superhero-animation,2024,what-if-2021-03,2024,11,27070992,4921998.545455,5.500000,2025,6.000000,1.090909,29531991.272727
superhero-animation,2024,what-if-2021-03,2024,12,29539914,5370893.454545,5.500000,2025,6.000000,1.090909,32225360.727273
superhero-animation,2024,what-if-2021-03,2024,13,31994521,5817185.636364,5.500000,2025,6.000000,1.090909,34903113.818182
superhero-animation,2024,what-if-2021-03,2024,14,34463633,6266115.090909,5.500000,2025,6.000000,1.090909,37596690.545455
superhero-animation,2024,what-if-2021-03,2024,15,36728759,6677956.181818,5.500000,2025,6.000000,1.090909,40067737.090909
superhero-animation,2024,what-if-2021-03,2024,16,38686657,7033937.636364,5.500000,2025,6.000000,1.090909,42203625.818182
superhero-animation,2024,what-if-2021-03,2024,17,40656977,7392177.636364,5.500000,2025,6.000000,1.090909,44353065.818182
superhero-animation,2024,what-if-2021-03,2024,18,42716730,7766678.181818,5.500000,2025,6.000000,1.090909,46600069.090909
superhero-animation,2024,what-if-2021-03,2024,19,44676347,8122972.181818,5.500000,2025,6.000000,1.090909,48737833.090909
superhero-animation,2024,what-if-2021-03,2024,20,46630249,8478227.090909,5.500000,2025,6.000000,1.090909,50869362.545455
superhero-animation,2024,what-if-2021-03,2024,21,48532165,8824030.000000,5.500000,2025,6.000000,1.090909,52944180.000000
superhero-animation,2024,what-if-2021-03,2024,22,50563890,9193434.545455,5.500000,2025,6.000000,1.090909,55160607.272727
superhero-animation,2024,what-if-2021-03,2024,23,52567786,9557779.272727,5.500000,2025,6.000000,1.090909,57346675.636364
superhero-animation,2024,what-if-2021-03,2024,24,54626938,9932170.545455,5.500000,2025,6.000000,1.090909,59593023.272727
superhero-animation,2024,what-if-2021-03,2024,25,55843811,10153420.181818,5.500000,2025,6.000000,1.090909,60920521.090909
superhero-animation,2024,what-if-2021-03,2024,26,57989142,10543480.363636,5.500000,2025,6.000000,1.090909,63260882.181818
superhero-animation,2025,eyes-of-wakanda-01,2025,1,729376,121562.666667,6.000000,2025,6.000000,1.000000,729376.000000
superhero-animation,2025,eyes-of-wakanda-01,2025,2,2043484,340580.666667,6.000000,2025,6.000000,1.000000,2043484.000000
superhero-animation,2025,eyes-of-wakanda-01,2025,3,3106364,517727.333333,6.000000,2025,6.000000,1.000000,3106364.000000
