set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
animation,2017,0,,,0,0,0.000000,0,0.000000
animation,2018,0,,,0,0,0.000000,0,0.000000
animation,2019,3,2019-03-15,2019-12-16,311,16142465,51905.032154,2907657,9349.379421
animation,2020,6,2020-01-31,2021-10-19,791,35310021,44639.723135,7128135,9011.548673
animation,2021,15,2021-03-04,2022-03-11,2534,107706162,42504.404893,20313601,8016.417127
animation,2022,8,2022-03-04,2023-02-14,1086,29007283,26710.205341,8756564,8063.134438
animation,2023,6,2023-05-16,2024-02-28,1310,74871611,57153.901527,15265046,11652.706870
animation,2024,8,2024-06-26,2025-06-21,2453,355502438,144925.576029,26186880,10675.450469
animation,2025,15,2025-01-28,2026-05-27,4267,478306119,112094.239278,23301240,5460.801500
animation,2026,4,2026-01-29,2026-09-07,998,140759774,141041.857715,6464630,6477.585170
animation,all,65,2019-03-15,2026-09-07,13750,1237605873,90007.699855,110323753,8023.545673
