set,cohort_year,collection_key,sample_year_start,sample_week,raw_downloaders,downloaders_per_billion,itu_source_users,itu_reference_year,itu_reference_users,adjustment_factor,adjusted_downloaders
animation,2019,love-death-robots-01,2019,1,1926064,469771.707317,4.100000,2025,6.000000,1.463415,2818630.243902
animation,2019,love-death-robots-01,2019,2,3953849,964353.414634,4.100000,2025,6.000000,1.463415,5786120.487805
animation,2019,love-death-robots-01,2019,3,5451414,1329613.170732,4.100000,2025,6.000000,1.463415,7977679.024390
animation,2019,love-death-robots-01,2019,4,6819966,1663406.341463,4.100000,2025,6.000000,1.463415,9980438.048780
animation,2019,love-death-robots-01,2019,5,7908115,1928808.536585,4.100000,2025,6.000000,1.463415,11572851.219512
animation,2019,love-death-robots-01,2019,6,8884735,2167008.536585,4.100000,2025,6.000000,1.463415,13002051.219512
animation,2019,love-death-robots-01,2019,7,9667466,2357918.536585,4.100000,2025,6.000000,1.463415,14147511.219512
animation,2019,love-death-robots-01,2019,8,10429829,2543860.731707,4.100000,2025,6.000000,1.463415,15263164.390244
animation,2019,love-death-robots-01,2019,9,11114723,2710908.048780,4.100000,2025,6.000000,1.463415,16265448.292683
animation,2019,she-ra-04,2019,1,10220,2492.682927,4.100000,2025,6.000000,1.463415,14956.097561
animation,2019,she-ra-04,2019,2,28514,6954.634146,4.100000,2025,6.000000,1.463415,41727.804878
animation,2019,she-ra-04,2019,3,46873,11432.439024,4.100000,2025,6.000000,1.463415,68594.634146
animation,2019,she-ra-04,2019,4,75980,18531.707317,4.100000,2025,6.000000,1.463415,111190.243902
animation,2019,she-ra-04,2019,5,103120,25151.219512,4.100000,2025,6.000000,1.463415,150907.317073
animation,2019,she-ra-04,2019,6,129084,31483.902439,4.100000,2025,6.000000,1.463415,188903.414634
animation,2019,undone-01,2019,1,730005,178050.000000,4.100000,2025,6.000000,1.463415,1068300.000000
animation,2019,undone-01,2019,2,1489324,363249.756098,4.100000,2025,6.000000,1.463415,2179498.536585
animation,2019,undone-01,2019,3,2157817,526296.829268,4.100000,2025,6.000000,1.463415,3157780.975610
animation,2019,undone-01,2019,4,2705735,659935.365854,4.100000,2025,6.000000,1.463415,3959612.195122
animation,2019,undone-01,2019,5,3122554,761598.536585,4.100000,2025,6.000000,1.463415,4569591.219512
animation,2019,undone-01,2019,6,3618712,882612.682927,4.100000,2025,6.000000,1.463415,5295676.097561
animation,2019,undone-01,2019,7,4094628,998689.756098,4.100000,2025,6.000000,1.463415,5992138.536585
animation,2019,undone-01,2019,8,4371419,1066199.756098,4.100000,2025,6.000000,1.463415,6397198.536585
animation,2019,undone-01,2019,9,4664423,1137664.146341,4.100000,2025,6.000000,1.463415,6825984.878049
animation,2019,undone-01,2019,10,4898658,1194794.634146,4.100000,2025,6.000000,1.463415,7168767.804878
animation,2020,altered-carbon-resleeved,2020,1,194583,43240.666667,4.500000,2025,6.000000,1.333333,259444.000000
animation,2020,altered-carbon-resleeved,2020,2,324248,72055.111111,4.500000,2025,6.000000,1.333333,432330.666667
animation,2020,altered-carbon-resleeved,2020,3,475704,105712.000000,4.500000,2025,6.000000,1.333333,634272.000000
animation,2020,altered-carbon-resleeved,2020,4,629145,139810.000000,4.500000,2025,6.000000,1.333333,838860.000000
animation,2020,altered-carbon-resleeved,2020,5,755201,167822.444444,4.500000,2025,6.000000,1.333333,1006934.666667
animation,2020,altered-carbon-resleeved,2020,6,856222,190271.555556,4.500000,2025,6.000000,1.333333,1141629.333333
animation,2020,altered-carbon-resleeved,2020,7,980718,217937.333333,4.500000,2025,6.000000,1.333333,1307624.000000
animation,2020,altered-carbon-resleeved,2020,8,1102537,245008.222222,4.500000,2025,6.000000,1.333333,1470049.333333
animation,2020,altered-carbon-resleeved,2020,9,1209371,268749.111111,4.500000,2025,6.000000,1.333333,1612494.666667
animation,2020,altered-carbon-resleeved,2020,10,1294918,287759.555556,4.500000,2025,6.000000,1.333333,1726557.333333
animation,2020,bojack-horseman-06,2020,1,119518,26559.555556,4.500000,2025,6.000000,1.333333,159357.333333
animation,2020,bojack-horseman-06,2020,2,249606,55468.000000,4.500000,2025,6.000000,1.333333,332808.000000
animation,2020,bojack-horseman-06,2020,3,845485,187885.555556,4.500000,2025,6.000000,1.333333,1127313.333333
animation,2020,bojack-horseman-06,2020,4,1502238,333830.666667,4.500000,2025,6.000000,1.333333,2002984.000000
animation,2020,bojack-horseman-06,2020,5,2106681,468151.333333,4.500000,2025,6.000000,1.333333,2808908.000000
animation,2020,bojack-horseman-06,2020,6,2585098,574466.222222,4.500000,2025,6.000000,1.333333,3446797.333333
animation,2020,bojack-horseman-06,2020,7,2945898,654644.000000,4.500000,2025,6.000000,1.333333,3927864.000000
animation,2020,bojack-horseman-06,2020,8,3294424,732094.222222,4.500000,2025,6.000000,1.333333,4392565.333333
animation,2020,bojack-horseman-06,2020,9,3608666,801925.777778,4.500000,2025,6.000000,1.333333,4811554.666667
animation,2020,bojack-horseman-06,2020,10,3872634,860585.333333,4.500000,2025,6.000000,1.333333,5163512.000000
animation,2020,demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train,2020,1,75493,16776.222222,4.500000,2025,6.000000,1.333333,100657.333333
