set,cohort_year,selected_media_objects,earliest_sample_date,latest_sample_date,summed_unique_btiha,summed_cumulative_unique_downloaders,downloaders_per_unique_btiha,summed_cumulative_unique_uploaders,uploaders_per_unique_btiha
animation,2017,0,,,0,0,0.000000,0,0.000000
animation,2018,1,2018-04-03,2018-04-12,30,111518,3717.266667,60876,2029.200000
animation,2019,3,2019-03-15,2019-12-16,311,16142465,51905.032154,2907657,9349.379421
animation,2020,7,2020-01-31,2021-10-19,828,36887948,44550.661836,7347781,8874.131643
animation,2021,15,2021-03-04,2022-03-11,2534,107706162,42504.404893,20313601,8016.417127
animation,2022,8,2022-03-04,2023-02-14,1086,29007283,26710.205341,8756564,8063.134438
animation,2023,7,2023-05-16,2024-03-06,1388,79997876,57635.357349,15569706,11217.367435
animation,2024,8,2024-06-26,2025-06-21,2453,355502438,144925.576029,26186880,10675.450469
animation,2025,17,2025-01-28,2026-06-29,4460,503203146,112825.817489,25050392,5616.679821
animation,2026,20,2026-01-29,2026-09-11,4770,403002246,84486.844025,23697618,4968.054088
animation,all,86,2018-04-03,2026-09-11,17860,1531561082,85753.700000,129891075,7272.736562
