cohort_year,collection_key,cumulative_world_downloaders,africa_60_downloaders,africa_60_percentage,EGY_downloaders,EGY_percentage,NGA_downloaders,NGA_percentage,ZAF_downloaders,ZAF_percentage,asia_27_downloaders,asia_27_percentage,CHN_downloaders,CHN_percentage,JPN_downloaders,JPN_percentage,KOR_downloaders,KOR_percentage,week_1_available,week_1_world_downloaders,week_1_USA_downloaders,week_1_USA_percentage,week_5_available,week_5_world_downloaders,week_5_USA_downloaders,week_5_USA_percentage,week_15_available,week_15_world_downloaders,week_15_USA_downloaders,week_15_USA_percentage
2020,altered-carbon-resleeved,1280140,112876,8.817473,1067,0.083350,4012,0.313403,12843,1.003250,242242,18.923087,53840,4.205790,21170,1.653725,41067,3.208008,True,187527,14961,7.978051,True,138920,15718,11.314426,False,,,
2020,demon-slayer-kimetsu-no-yaiba-the-movie-mugen-train,23988079,1195830,4.985101,81797,0.340990,77058,0.321235,312285,1.301834,6883938,28.697329,1672333,6.971517,819740,3.417281,755987,3.151511,True,70359,8033,11.417161,True,152830,42750,27.972257,True,78468,17923,22.841158
2020,lego-star-wars-holiday-special-2020,1426728,96490,6.763027,5309,0.372110,4501,0.315477,41392,2.901184,313490,21.972654,96760,6.781951,54442,3.815864,30854,2.162571,True,270471,61072,22.579870,True,384651,149553,38.880180,False,,,
2021,mitchells-vs-the-machines,9434262,756490,8.018539,42484,0.450316,59294,0.628496,291651,3.091402,2470174,26.183013,401064,4.251143,217452,2.304918,147047,1.558649,True,1518924,153556,10.109525,True,1602408,414947,25.895215,False,,,
2021,raya-and-the-last-dragon,31421255,2209421,7.031613,130933,0.416702,167786,0.533989,717248,2.282684,8355035,26.590392,1319574,4.199622,654696,2.083609,671274,2.136369,True,3535134,525932,14.877286,True,3057777,659729,21.575445,True,2239975,612133,27.327671
2022,turning-red,13252482,1781318,13.441392,62143,0.468916,142945,1.078628,770506,5.814051,4068414,30.699261,473253,3.571052,68224,0.514802,228165,1.721677,True,2337579,199609,8.539134,True,1511885,84355,5.579459,True,659057,41473,6.292779
2023,spider-man-across-the-spider-verse,37279493,2288213,6.137994,228090,0.611838,272370,0.730616,629434,1.688419,7460896,20.013405,1111534,2.981623,283849,0.761408,1609475,4.317320,True,2849319,299618,10.515425,True,1590031,169572,10.664698,True,1981750,126679,6.392280
2023,super-mario-brothers-movie,18038753,1160388,6.432751,54374,0.301429,99007,0.548857,421719,2.337850,3158259,17.508189,649818,3.602344,109617,0.607675,477043,2.644545,True,2153845,269227,12.499832,True,1380252,154703,11.208316,True,889149,88915,10.000011
2024,boy-and-the-heron,25759855,397686,1.543821,43080,0.167237,20992,0.081491,69583,0.270122,5055884,19.626989,1275137,4.950094,360492,1.399433,2258088,8.765919,True,735255,73960,10.059095,True,1290910,99424,7.701854,True,1172876,71679,6.111388
2024,inside-out-2,65975450,1430635,2.168435,146105,0.221454,65768,0.099686,394924,0.598592,10693234,16.207899,2535150,3.842566,710334,1.076664,4786959,7.255667,True,1931534,166081,8.598399,True,2661141,172969,6.499806,True,2673626,155835,5.828601
2024,wild-robot,55670624,1270531,2.282229,151611,0.272336,62174,0.111682,330745,0.594110,9569766,17.189974,2171149,3.899990,552290,0.992067,3761467,6.756646,True,2075039,217522,10.482791,True,1869144,123680,6.616933,True,3099477,172758,5.573779
2025,demon-slayer-kimetsu-no-yaiba-the-movie-infinity-castle,8801602,288694,3.280017,19385,0.220244,25323,0.287709,53172,0.604117,2774315,31.520569,976921,11.099354,118730,1.348959,918986,10.441122,True,375257,24227,6.456109,True,408725,27235,6.663404,True,403232,29685,7.361767
2025,moana-2,65259110,1970568,3.019606,136279,0.208828,117431,0.179946,571704,0.876052,13547201,20.759096,3587182,5.496829,761058,1.166210,5708841,8.747960,True,2752735,224163,8.143283,True,2869825,163238,5.688082,True,2977765,167464,5.623815
